날짜,종목코드,종목명,업종명,시장구분,시가,고가,저가,종가,거래량,시가총액
2025-03-14,034310,NICE,일반서비스,KOSPI,11070,11240,11070,11180,17204,415095981560
2025-03-14,030190,NICE평가정보,IT 서비스,KOSPI,12500,12650,12230,12340,60165,734311357620
2025-03-14,008260,NI스틸,금속,KOSPI,3495,3570,3485,3495,174548,99957408915
2025-03-14,004250,NPC,화학,KOSPI,3975,4035,3970,4005,8805,147063600000
2025-03-14,004255,NPC우,화학,KOSPI,2400,2415,2395,2415,1064,12751200000
2025-03-14,456040,OCI,화학,KOSPI,58300,59400,58300,58400,26762,522825708000
2025-03-14,010060,OCI홀딩스,기타금융,KOSPI,79100,80000,78600,79300,26111,1492022918100
2025-03-14,178920,PI첨단소재,화학,KOSPI,18580,19060,17930,17990,152797,528300132780
2025-03-14,005490,POSCO홀딩스,금속,KOSPI,311000,314500,304500,304500,363527,25159122796500
2025-03-14,010950,S-Oil,화학,KOSPI,60500,60500,58900,59000,103373,6642384728000
2025-03-14,010955,S-Oil우,화학,KOSPI,38250,38600,37950,38150,2172,153436515050
2025-03-14,034120,SBS,오락·문화,KOSPI,21200,21400,20750,21000,55035,389575998000
2025-03-14,005090,SGC에너지,전기·가스,KOSPI,23000,23150,22850,23050,11314,332135125650
2025-03-14,001380,SG글로벌,운송장비·부품,KOSPI,2970,3040,2940,2995,355856,134667608285
2025-03-14,004060,SG세계물산,유통,KOSPI,315,318,313,316,171136,63966287360
2025-03-14,001770,SHD,금속,KOSPI,14990,14990,14760,14760,942,17931599280
2025-03-14,002360,SH에너지화학,화학,KOSPI,485,489,480,482,101267,53566457860
2025-03-14,009160,SIMPAC,금속,KOSPI,3840,3945,3840,3920,104993,256483702720
2025-03-14,033530,SJG세종,운송장비·부품,KOSPI,4265,4355,4265,4300,25839,119630132300
2025-03-14,123700,SJM,운송장비·부품,KOSPI,2930,2960,2920,2950,11794,46034449100
2025-03-14,025530,SJM홀딩스,유통,KOSPI,3090,3120,3075,3090,6114,46146084720
2025-03-14,034730,SK,기타금융,KOSPI,137000,137700,136400,137100,91446,9940120581300
2025-03-14,011790,SKC,화학,KOSPI,130000,137800,129000,136500,454507,5169022677000
2025-03-14,018670,SK가스,유통,KOSPI,252000,263000,250500,259500,18428,2395248318000
2025-03-14,001740,SK네트웍스,유통,KOSPI,4285,4355,4285,4305,175359,952601368110
2025-03-14,006120,SK디스커버리,기타금융,KOSPI,38200,40000,38000,39900,69464,749555614500
2025-03-14,006125,SK디스커버리우,기타금융,KOSPI,33050,33500,33000,33500,7127,45508242500
2025-03-14,210980,SK디앤디,부동산,KOSPI,8300,8650,8270,8540,101507,158992442280
2025-03-14,395400,SK리츠,부동산,KOSPI,4995,5020,4910,4940,115286,1353875310320
2025-03-14,302440,SK바이오사이언스,제약,KOSPI,42200,44150,42200,42750,187591,3349346775750
2025-03-14,326030,SK바이오팜,일반서비스,KOSPI,104600,108500,104600,106600,152554,8348192450000
2025-03-14,402340,SK스퀘어,기타금융,KOSPI,91300,94000,90100,93400,169449,12473388430400
2025-03-14,361610,SK아이이테크놀로지,전기·전자,KOSPI,26100,26800,25350,25700,127814,1832348114400
2025-03-14,100090,SK오션플랜트,금속,KOSPI,14940,15010,14680,14870,121688,880238096160
2025-03-14,03473K,SK우,기타금융,KOSPI,121800,122400,121400,122200,458,69181697000
2025-03-14,096770,SK이노베이션,화학,KOSPI,137500,137500,130800,132000,329898,19936590432000
2025-03-14,096775,SK이노베이션우,화학,KOSPI,81200,81800,79000,80400,12228,100373450400
2025-03-14,475150,SK이터닉스,건설,KOSPI,14210,14920,14070,14880,290184,502260144960
2025-03-14,001510,SK증권,증권,KOSPI,468,469,466,468,181999,221172200028
2025-03-14,001515,SK증권우,증권,KOSPI,1720,1729,1720,1729,2443,6764736706
2025-03-14,285130,SK케미칼,화학,KOSPI,41850,42900,41750,42100,21122,726384264300
2025-03-14,28513K,SK케미칼우,화학,KOSPI,19900,20450,19900,20300,2234,42943208700
2025-03-14,017670,SK텔레콤,통신,KOSPI,56000,56000,55200,55300,508640,11877889930900
2025-03-14,000660,SK하이닉스,전기·전자,KOSPI,198500,206000,198500,204500,3385095,148876483642500
2025-03-14,003570,SNT다이내믹스,운송장비·부품,KOSPI,36000,36200,34950,35050,91483,1165507029850
2025-03-14,064960,SNT모티브,운송장비·부품,KOSPI,25000,25350,24500,24850,63112,659525759200
2025-03-14,100840,SNT에너지,기계·장비,KOSPI,33650,35100,33100,33900,154209,701078543700
2025-03-14,036530,SNT홀딩스,기타금융,KOSPI,31450,32150,31150,32000,19736,521724352000
2025-03-14,005610,SPC삼립,음식료·담배,KOSPI,52200,52700,51500,52700,6313,454748774300
2025-03-14,011810,STX,유통,KOSPI,4000,4045,3985,4020,60282,124692066540
2025-03-14,465770,STX그린로지스,운송·창고,KOSPI,8270,8580,8200,8280,61452,59376144960
2025-03-14,077970,STX엔진,기계·장비,KOSPI,25500,25900,25150,25550,185864,587877497200
2025-03-14,002820,SUN&L,종이·목재,KOSPI,2815,2815,2785,2810,5477,35428449090
2025-03-14,084870,TBH글로벌,섬유·의류,KOSPI,1128,1142,1125,1136,21046,23693346384
2025-03-14,002710,TCC스틸,금속,KOSPI,27150,28550,27100,27350,170397,716944612950
2025-03-14,069260,TKG휴켐스,화학,KOSPI,16060,16070,15960,15970,29791,652831050360
2025-03-14,007980,TP,섬유·의류,KOSPI,1344,1352,1335,1345,62042,68830549850
2025-03-14,002900,TYM,기계·장비,KOSPI,5000,5030,4860,4875,234196,219623410500
2025-03-14,024070,WISCOM,화학,KOSPI,1850,1909,1850,1863,9954,28553153994
2025-03-14,037270,YG PLUS,IT 서비스,KOSPI,5060,5200,5030,5140,789868,326027167400
2025-03-14,000500,가온전선,전기·전자,KOSPI,50600,54700,50500,53900,189241,891673898500
2025-03-14,000860,강남제비스코,화학,KOSPI,24100,24500,24050,24100,3387,156650000000
2025-03-14,035250,강원랜드,오락·문화,KOSPI,16640,16810,16600,16780,344654,3589921590000
2025-03-14,011420,갤럭시아에스엠,오락·문화,KOSPI,2000,2035,2000,2020,189863,55650280880
2025-03-14,002100,경농,화학,KOSPI,9090,9110,9050,9110,3370,177850658250
2025-03-14,009450,경동나비엔,전기·전자,KOSPI,79800,81100,79300,80100,39493,1166944219200
2025-03-14,267290,경동도시가스,전기·가스,KOSPI,17480,17690,17310,17540,4744,103405421240
2025-03-14,012320,경동인베스트,기타금융,KOSPI,62600,63500,61700,61900,15680,146394923700
2025-03-14,000050,경방,유통,KOSPI,6560,6590,6520,6580,3861,180392476600
2025-03-14,214390,경보제약,제약,KOSPI,6210,6230,6000,6190,59356,147983463400
2025-03-14,012610,경인양행,화학,KOSPI,2865,2895,2845,2885,24199,120063213025
2025-03-14,009140,경인전자,전기·전자,KOSPI,18460,18600,18100,18450,4074,28981204650
2025-03-14,013580,계룡건설,건설,KOSPI,13420,13560,13310,13410,11679,119763462870
2025-03-14,012200,계양전기,기계·장비,KOSPI,1482,1505,1477,1487,5710,40480346723
2025-03-14,012205,계양전기우,기계·장비,KOSPI,3325,3395,3325,3395,1119,3969023205
2025-03-14,002140,고려산업,음식료·담배,KOSPI,2790,2840,2770,2790,302888,69580995750
2025-03-14,010130,고려아연,금속,KOSPI,935000,991000,910000,913000,72712,18902097379000
2025-03-14,002240,고려제강,금속,KOSPI,17630,18320,17630,17770,16408,479790000000
2025-03-14,009290,광동제약,제약,KOSPI,5580,5630,5500,5530,47682,289887306030
2025-03-14,017040,광명전기,전기·전자,KOSPI,1428,1452,1420,1437,124697,62276152755
2025-03-14,017900,광전자,전기·전자,KOSPI,1770,1800,1768,1792,17166,103835223296
2025-03-14,037710,광주신세계,유통,KOSPI,29600,29650,29300,29300,52532,233145667000
2025-03-14,030610,교보증권,증권,KOSPI,6600,6710,6600,6670,60730,760132949870
