종목코드,종목명,업종,RS,RS_1M,RS_2M,RS_3M,MTT,시가총액,테마명
123010,아이윈플러스,반도체와반도체장비,94,23,45,97,0,42782690020,"카메라모듈/부품,모듈러주택,양자암호"
267260,HD현대일렉트릭,전기장비,94,11,8,16,0,11877530982500,전력설비
229640,LS에코에너지,전기장비,94,12,27,82,0,1073402008950,"전선,전력설비,네옴시티,지주사,5G(5세대 이동통신)"
077970,STX엔진,조선,94,16,74,93,0,583275716400,"선박평형수 처리장치,조선기자재,방위산업/전쟁 및 테러"
452190,한빛레이저,특수 목적용 기계 제조업,94,51,96,98,0,150094665360,
017510,세명전기,전기장비,94,23,8,84,0,82480860000,"해저터널(지하화/지하도로 등),철도,전력설비,GTX(수도권 광역급행철도)"
098460,고영,전자장비와기기,93,4,97,97,0,1094356794700,"반도체 장비,지능형로봇/인공지능(AI),스마트팩토리(스마트공장),시스템반도체"
089030,테크윙,반도체와반도체장비,93,19,12,81,0,1443718379250,"반도체 재료/부품,시스템반도체,LCD장비,반도체 장비,3D 낸드(NAND)"
060370,LS마린솔루션,건설,93,16,39,76,0,525315172320,"해저터널(지하화/지하도로 등),재난/안전(지진 등)"
363250,진시스템,건강관리장비와용품,93,80,72,84,97,72508147380,"코로나19(진단/치료제/백신 개발 등),유전자 치료제/분석,코로나19(진단키트),2021 상반기 신규상장"
071950,코아스,가구,93,83,88,68,0,31261840000,DMZ 평화공원
010130,고려아연,비철금속,93,73,64,2,0,17556383984000,"환율하락 수혜,비철금속,2차전지,2차전지(소재/부품)"
361670,삼영에스앤씨,전자장비와기기,93,58,37,19,0,25929535350,"수소차(연료전지/부품/충전소 등),2021 상반기 신규상장"
047810,한국항공우주,우주항공과국방,93,98,97,95,97,8256141562900,"UAM(도심항공모빌리티),항공기부품,방위산업/전쟁 및 테러,드론(Drone),우주항공산업"
024840,KBI메탈,전기장비,93,36,23,64,0,71389311955,"자동차부품,전선"
214430,아이쓰리시스템,우주항공과국방,93,21,91,94,0,402242616000,"의료기기,자율주행차,방위산업/전쟁 및 테러"
317830,에스피시스템스,기계,93,5,85,97,0,87160187620,"2019 하반기 신규상장,지능형로봇/인공지능(AI),스마트팩토리(스마트공장),로봇(산업용/협동로봇 등)"
171090,선익시스템,디스플레이장비및부품,93,43,47,54,0,439655930500,"OLED(유기 발광 다이오드),메타버스(Metaverse)"
122870,와이지엔터테인먼트,방송과엔터테인먼트,93,94,91,91,0,1149499513500,"엔터테인먼트,음원/음반"
078860,엔에스이엔엠,방송과엔터테인먼트,93,69,48,40,0,83037688855,"가상화폐(비트코인 등),엔터테인먼트,증강현실(AR)"
073190,듀오백,가구 제조업,93,10,93,96,0,39494532000,
117730,티로보틱스,디스플레이장비및부품,93,96,97,97,0,253322726280,"LCD장비,로봇(산업용/협동로봇 등),지능형로봇/인공지능(AI),OLED(유기 발광 다이오드),의료기기"
010140,삼성중공업,조선,93,59,82,89,97,12830400000000,"LNG(액화천연가스),조선,GTX(수도권 광역급행철도)"
003160,디아이,반도체와반도체장비,93,14,16,90,0,422802000000,"반도체 장비,시스템반도체"
095610,테스,반도체와반도체장비,93,81,95,96,0,476414246600,"태양광에너지,3D 낸드(NAND),반도체 장비"
214150,클래시스,건강관리장비와용품,93,83,85,87,0,3825530485600,"화장품,의료기기,미용기기"
102710,이엔에프테크놀로지,반도체와반도체장비,93,86,94,95,0,385057180200,"LCD 부품/소재,반도체 재료/부품"
102940,코오롱생명과학,제약,93,94,92,94,0,383882658300,"제약업체,수자원(양적/질적 개선),유전자 치료제/분석"
018290,브이티,화장품,93,57,49,8,0,1229661540450,"2차전지(LFP/리튬인산철),사물인터넷,화장품"
108490,로보티즈,기계,93,15,70,96,0,423961071000,지능형로봇/인공지능(AI)
458870,씨어스테크놀로지,의료용 기기 제조업,93,75,92,94,0,183449121600,
086710,선진뷰티사이언스,화장품,93,81,82,75,0,130086964800,"화장품,2021 상반기 신규상장"
251970,펌텍코리아,포장재,93,95,79,81,0,611320000000,"화장품,2019 하반기 신규상장"
099320,쎄트렉아이,우주항공과국방,92,22,83,84,0,547563900000,"드론(Drone),우주항공산업"
017960,한국카본,조선,92,34,87,93,0,776031357400,"LNG(액화천연가스),셰일가스(Shale Gas),항공기부품,UAM(도심항공모빌리티),조선기자재"
192820,코스맥스,화장품,92,93,88,81,97,2048586374500,화장품
045660,에이텍,컴퓨터와주변기기,92,7,35,7,0,220129000000,사물인터넷
000880,한화,복합기업,92,14,96,94,0,3114535439250,"지주사,우주항공산업,방위산업/전쟁 및 테러,태양광에너지"
340570,티앤엘,건강관리장비와용품,92,81,77,88,0,645363200000,"의료기기,2020 하반기 신규상장"
365330,에스와이스틸텍,구조용 금속제품/ 탱크 및 증기발생기 제조업,92,3,1,4,0,172640400000,
018670,SK가스,가스유틸리티,92,90,89,86,97,2413708806000,"LPG(액화석유가스),셰일가스(Shale Gas)"
014940,오리엔탈정공,조선,92,45,39,78,0,252478081940,조선기자재
079550,LIG넥스원,우주항공과국방,92,17,88,91,0,5918000000000,"UAM(도심항공모빌리티),방위산업/전쟁 및 테러,항공기부품,우주항공산업"
032820,우리기술,우주항공과국방,92,14,66,75,0,321944379560,"철도,원자력발전,풍력에너지,원자력발전소 해체,방위산업/전쟁 및 테러,지능형로봇/인공지능(AI),수자원(양적/질적 개선)"
024940,PN풍년,가정용기기와용품,92,61,24,4,0,78500000000,밥솥
036000,예림당,출판,92,94,91,92,0,63574604520,"엔젤산업,출산장려정책"
021240,코웨이,가정용기기와용품,92,73,84,86,97,6327558564000,"공기청정기,황사/미세먼지,제습기,여름,화장품,수자원(양적/질적 개선)"
012630,HDC,건설,92,90,85,85,97,865657537290,"면세점,지주사"
005010,휴스틸,철강,92,97,95,95,97,337128450000,"철강 중소형,강관업체(Steel pipe),남-북-러 가스관사업"
086820,바이오솔루션,생물공학,92,13,34,87,0,203677478700,줄기세포
048470,대동스틸,철강,92,98,97,94,97,50200000000,"철강 중소형,남-북-러 가스관사업"
108380,대양전기공업,조선,92,75,85,93,0,164749474260,"우크라이나 재건,방위산업/전쟁 및 테러,철도,조선기자재"
196170,알테오젠,생물공학,92,43,90,81,0,19727966360000,"K-뉴딜지수(바이오),K-뉴딜지수,바이오시밀러(복제 바이오의약품)"
159910,스킨앤스킨,화장품,92,44,96,95,0,34407542610,화장품
044490,태웅,에너지장비및서비스,92,93,92,95,0,325119941250,"풍력에너지,조선기자재,우주항공산업,원자력발전"
358570,지아이이노베이션,생물공학,92,61,98,95,0,672103800830,"면역항암제,2023 상반기 신규상장"
031980,피에스케이홀딩스,반도체와반도체장비,92,21,18,92,0,925026745500,"3D 낸드(NAND),반도체 장비"
332570,와이팜,핸드셋,92,33,93,95,0,169416187200,"5G(5세대 이동통신),갤럭시 부품주,2020 하반기 신규상장,스마트폰,휴대폰부품"
114840,아이패밀리에스씨,화장품,92,34,18,63,0,377573820000,"화장품,2021 하반기 신규상장"
457550,우진엔텍,그외 기타 전문/ 과학 및 기술 서비스업,91,7,18,82,0,162804712840,
001040,CJ,복합기업,91,96,94,90,0,3737573443800,지주사
333430,일승,조선,91,26,20,82,0,139653065115,"기업인수목적회사(SPAC),조선기자재,2019 하반기 신규상장"
217730,강스템바이오텍,생물공학,91,60,69,61,0,121076961840,"코로나19(진단/치료제/백신 개발 등),제대혈,탈모 치료,줄기세포,코로나19(치료제/백신 개발 등),화장품"
082920,비츠로셀,전기제품,91,49,55,88,0,587815874100,"스마트그리드(지능형전력망),전력저장장치(ESS)"
115500,케이씨에스,IT서비스,91,59,75,71,0,140400000000,"SI(시스템통합),양자암호,키오스크(KIOSK),화폐/금융자동화기기(디지털화폐 등),철도"
413640,비아이매트릭스,소프트웨어 개발 및 공급업,91,96,96,92,97,85906724800,
355150,코스텍시스,반도체와반도체장비,91,97,93,93,0,56140920000,"전기차,기업인수목적회사(SPAC),2020 하반기 신규상장,5G(5세대 이동통신)"
002410,범양건영,건설,91,0,1,1,0,53173451700,"건설 중소형,모듈러주택"
035200,프럼파스트,플라스틱제품 제조업,91,96,93,90,97,46463567250,
103140,풍산,비철금속,91,90,91,88,0,1824380497800,"비철금속,방위산업/전쟁 및 테러,환율하락 수혜,화폐/금융자동화기기(디지털화폐 등)"
041510,에스엠,방송과엔터테인먼트,91,81,93,89,97,2296337407000,"엔터테인먼트,음원/음반,네옴시티"
264660,씨앤지하이테크,반도체와반도체장비,91,4,94,95,0,133924033360,"LCD장비,반도체 장비"
036930,주성엔지니어링,반도체와반도체장비,91,88,90,93,97,2001813394350,"OLED(유기 발광 다이오드),LED장비,반도체 장비,태양광에너지,LCD장비,플렉서블 디스플레이"
036530,SNT홀딩스,자동차부품,91,86,96,93,97,524169934900,지주사
305090,마이크로디지탈,건강관리장비와용품,91,6,56,11,0,166875729800,"2019 상반기 신규상장,코로나19(진단키트),코로나19(진단/치료제/백신 개발 등)"
460940,피앤에스미캐닉스,의료용 기기 제조업,91,1,73,94,0,80896750000,
147830,제룡산업,전기장비,91,9,3,64,0,112200000000,전력설비
183300,코미코,반도체와반도체장비,91,95,95,95,0,598351124800,"반도체 장비,태양광에너지"
009540,HD한국조선해양,조선,91,21,17,54,0,15110060266000,"선박평형수 처리장치,지주사,LNG(액화천연가스),방위산업/전쟁 및 테러,풍력에너지,태양광에너지,조선"
317530,캐리소프트,양방향미디어와서비스,91,95,92,90,0,63047771120,"영상콘텐츠,출산장려정책,2019 하반기 신규상장,엔젤산업,교육/온라인 교육,캐릭터상품"
084110,휴온스글로벌,제약,91,93,73,31,97,513686733000,"지주사,코로나19(스푸트니크V),보톡스(보툴리눔톡신),미용기기"
078140,대봉엘에스,제약,91,91,80,68,0,164524832360,화장품
106190,하이텍팜,제약,91,85,76,74,0,162262219980,"메르스 코로나 바이러스,제약업체"
019490,엑시큐어하이트론,통신장비,91,40,0,0,0,57324202500,"보안주(물리),CCTV＆DVR"
