code,name,market
032350,롯데관광개발,코스피
032560,황금에스티,코스피
032640,LG유플러스,코스피
032830,삼성생명,코스피
033180,KH 필룩스,코스피
033240,자화전자,코스피
033250,체시스,코스피
033270,유나이티드제약,코스피
033530,SJG세종,코스피
033780,KT&G,코스피
033920,무학,코스피
034020,두산에너빌리티,코스피
034120,SBS,코스피
034220,LG디스플레이,코스피
034230,파라다이스,코스피
034310,NICE,코스피
034590,인천도시가스,코스피
034730,SK,코스피
034830,한국토지신탁,코스피
035000,HS애드,코스피
035150,백산,코스피
035250,강원랜드,코스피
035420,NAVER,코스피
035510,신세계 I&C,코스피
035720,카카오,코스피
036420,콘텐트리중앙,코스피
036460,한국가스공사,코스피
036530,SNT홀딩스,코스피
036570,엔씨소프트,코스피
036580,팜스코,코스피
037270,YG PLUS,코스피
037560,LG헬로비전,코스피
037710,광주신세계,코스피
039130,하나투어,코스피
039490,키움증권,코스피
039570,HDC랩스,코스피
041650,상신브레이크,코스피
042660,한화오션,코스피
042670,HD현대인프라코어,코스피
042700,한미반도체,코스피
044380,주연테크,코스피
044450,KSS해운,코스피
044820,코스맥스비티아이,코스피
047040,대우건설,코스피
047050,포스코인터내셔널,코스피
047400,유니온머티리얼,코스피
047810,한국항공우주,코스피
049770,동원F&B,코스피
049800,우진플라임,코스피
051600,한전KPS,코스피
051630,진양화학,코스피
051900,LG생활건강,코스피
051910,LG화학,코스피
052690,한전기술,코스피
053210,스카이라이프,코스피
053690,한미글로벌,코스피
055490,테이팩스,코스피
055550,신한지주,코스피
057050,현대홈쇼핑,코스피
058430,포스코스틸리온,코스피
058650,세아홀딩스,코스피
058730,다스코,코스피
058850,KTcs,코스피
058860,KTis,코스피
060980,HL홀딩스,코스피
062040,산일전기,코스피
063160,종근당바이오,코스피
064350,현대로템,코스피
064400,LG씨엔에스,코스피
064960,SNT모티브,코스피
066570,LG전자,코스피
066970,엘앤에프,코스피
067830,세이브존I&C,코스피
068270,셀트리온,코스피
068290,삼성출판사,코스피
069260,TKG휴켐스,코스피
069460,대호에이엘,코스피
069620,대웅제약,코스피
069640,한세엠케이,코스피
069730,DSR제강,코스피
069960,현대백화점,코스피
070960,모나용평,코스피
071050,한국금융지주,코스피
071090,하이스틸,코스피
071320,지역난방공사,코스피
071840,롯데하이마트,코스피
071950,코아스,코스피
071970,HD현대마린엔진,코스피
072130,유엔젤,코스피
072710,농심홀딩스,코스피
073240,금호타이어,코스피
074610,이엔플러스,코스피
075180,새론오토모티브,코스피
075580,세진중공업,코스피
077500,유니퀘스트,코스피
077970,STX엔진,코스피
078000,텔코웨어,코스피
078520,에이블씨엔씨,코스피
078930,GS,코스피
079160,CJ CGV,코스피
079430,현대리바트,코스피
079550,LIG넥스원,코스피
079900,전진건설로봇,코스피
079980,휴비스,코스피
081000,일진다이아,코스피
081660,미스토홀딩스,코스피
082640,동양생명,코스피
082740,한화엔진,코스피
083420,그린케미칼,코스피
084010,대한제강,코스피
084670,동양고속,코스피
084680,이월드,코스피
084690,대상홀딩스,코스피
084870,TBH글로벌,코스피
085310,엔케이,코스피
085620,미래에셋생명,코스피
086280,현대글로비스,코스피
086790,하나금융지주,코스피
088260,이리츠코크렙,코스피
088350,한화생명,코스피
088790,진도,코스피
088980,맥쿼리인프라,코스피
089470,HDC현대EP,코스피
089590,제주항공,코스피
089860,롯데렌탈,코스피
090080,평화산업,코스피
090350,노루페인트,코스피
090370,메타랩스,코스피
090430,아모레퍼시픽,코스피
090460,비에이치,코스피
091090,세원이앤씨,코스피
091810,티웨이항공,코스피
092200,디아이씨,코스피
092220,KEC,코스피
092230,KPX홀딩스,코스피
092440,기신정기,코스피
092780,DYP,코스피
092790,넥스틸,코스피
093050,LF,코스피
093230,이아이디,코스피
093240,형지엘리트,코스피
093370,후성,코스피
094280,효성ITX,코스피
094800,맵스리얼티1,코스피
095570,AJ네트웍스,코스피
095720,웅진씽크빅,코스피
